,n_probes,"build_time, s","query_time, ms",R@1,R@100,build_time
0,1.0,,5.379486799240112,0.464,0.36087,13.47830867767334
1,2.0,,11.431121349334717,0.62,0.54197,13.47830867767334
2,3.0,,18.329830408096313,0.717,0.66176,13.47830867767334
3,4.0,,21.95693850517273,0.81,0.74608,13.47830867767334
4,5.0,,27.177910804748535,0.852,0.79934,13.47830867767334
5,7.0,,56.50016927719116,0.906,0.86764,13.47830867767334
6,10.0,,80.5455117225647,0.957,0.92855,13.47830867767334
7,15.0,,120.16380214691162,0.981,0.97177,13.47830867767334
8,20.0,,157.86730909347534,0.992,0.98821,13.47830867767334
9,30.0,,227.6370348930359,0.994,0.99775,13.47830867767334
