,Selected clusters,"Build time, s","Query time, ms",Recall
0,0,21.61,5.415,0.6118
1,1,21.61,5.406,0.7975
2,2,21.61,7.808,0.8749
3,3,21.61,10.7,0.9189
4,5,21.61,10.45,0.9425
5,7,21.61,7.72,0.9673
6,10,21.61,9.083,0.9823
7,15,21.61,11.99,0.989
8,25,21.61,15.84,0.9916
,Selected clusters,"Build time, s","Query time, ms",Recall
0,0,18.33,2.603,0.613
1,1,18.33,2.985,0.7917
2,2,18.33,5.167,0.868
3,3,18.33,4.302,0.9146
4,5,18.33,4.217,0.9411
5,7,18.33,5.095,0.967
6,10,18.33,6.728,0.9838
7,15,18.33,11.51,0.9911
8,25,18.33,17.56,0.9932
